CpGs,Monocytes90_Breast10,Adipo60Kidney30Prost10,Eryth50Lung25GI25
chr14:68790171,0.8005800000000001,0.031760000000000004,0.503375
chr15:90184328,0.7718900000000001,0.27813000000000004,0.2175
chr15:90184338,0.7057300000000001,0.15578,0.12034999999999997
chr11:64877015,0.8044,0.07232999999999999,0.50905
chr14:68790074,0.47136000000000006,0.02932,0.29250000000000004
chr10:73773673,0.18198,0.03166,0.08535
chr10:73773642,0.16544000000000006,0.026369999999999998,0.060475
chr10:73773592,0.3143900000000001,0.13067,0.219875
chr10:72275812,0.61142,0.13199999999999998,0.32872500000000004
chr10:73773673,0.18198,0.03166,0.08535
chr10:73773642,0.16544000000000006,0.026369999999999998,0.060475
chr2:190534080,0.17593,0.053839999999999985,0.08502499999999999
chr2:190534030,0.128,0.12797999999999998,0.10215
chr2:190534043,0.2,0.17167000000000002,0.13972500000000002
chr2:200861416,0.42595,0.06674999999999999,0.230375
chr5:163509447,0.39746,0.05757999999999999,0.247075
chr22:39523062,0.33065,0.0623,0.14162499999999995
chr1:235867796,0.15059,0.025480000000000003,0.10815
chr5:672730,0.4854800000000001,0.03315,0.2997
chr5:672757,0.5277200000000001,0.03795,0.35047500000000004
chr16:87382624,0.41839,0.05372999999999999,0.31345
chr14:68789960,0.7751,0.11234000000000001,0.542925
chr22:50474126,0.48843000000000003,0.07536,0.3649
chr10:62049314,0.75116,0.1141,0.5191
chr10:62049339,0.7380099999999999,0.17686000000000002,0.5519499999999999
chr10:62049349,0.64515,0.1561,0.498475
chr10:62049362,0.6905899999999999,0.15579,0.516975
chr13:98484326,0.8036800000000001,0.17952,0.528
chr5:111742779,0.81787,0.14833,0.549925
chr21:36990442,0.7748800000000001,0.22489,0.567225
chr21:36990425,0.36976,0.04386,0.22685
chr21:36990427,0.42746999999999996,0.04673,0.33492500000000003
chr21:36990454,0.67119,0.30517999999999995,0.538125
chr13:97225163,0.6991799999999999,0.14103999999999994,0.432125
chr10:62806012,0.4726400000000001,0.07263,0.32020000000000004
chr10:62805990,0.48795,0.06733,0.269025
chr10:62806008,0.30363,0.08803,0.2153
chr1:43348687,0.8654700000000001,0.07530999999999999,0.5281750000000001
chr16:89658663,0.28221999999999997,0.040310000000000006,0.1405
chr16:89658683,0.26896,0.16217,0.198475
chr10:72244313,0.6914000000000001,0.09668,0.267475
chr16:88443449,0.17655,0.04675,0.1112
chr21:34527150,0.66825,0.13055,0.475625
chr15:90184328,0.7718900000000001,0.27813000000000004,0.2175
chr15:90184338,0.7057300000000001,0.15578,0.12034999999999997
chr6:32974764,0.25872,0.06558,0.14775
chr6:32974717,0.42645,0.12836,0.2825
chr8:29170327,0.7430800000000001,0.1083,0.478025
chr19:38596283,0.87235,0.0727,0.54925
chr10:62806012,0.4726400000000001,0.07263,0.32020000000000004
chr10:62805990,0.48795,0.06733,0.269025
chr10:62806008,0.30363,0.08803,0.2153
chr21:36990442,0.7748800000000001,0.22489,0.567225
chr21:36990425,0.36976,0.04386,0.22685
chr21:36990427,0.42746999999999996,0.04673,0.33492500000000003
chr21:36990454,0.67119,0.30517999999999995,0.538125
chr7:45001541,0.36301,0.10903999999999997,0.2381
chr12:117189645,0.21074,0.02903,0.09265
chr12:117189673,0.12571,0.04139,0.0828
chr2:200864960,0.17574,0.02019,0.0882
chr6:32974933,0.63288,0.15077000000000002,0.435375
chr6:32974937,0.64783,0.21637,0.4545
chr14:99192204,0.6553800000000001,0.14370000000000002,0.4424
chr3:191330519,0.7740600000000001,0.10971999999999997,0.47805
chr13:21176510,0.12158,0.02012,0.0127
chr11:64809866,0.24086,0.11532,0.082075
chr5:672730,0.4854800000000001,0.03315,0.2997
chr5:672757,0.5277200000000001,0.03795,0.35047500000000004
chr1:202009821,0.24596,0.08072,0.086925
chr2:237669733,0.7409399999999999,0.17799,0.4743
chr12:57738775,0.64525,0.060549999999999986,0.34482500000000005
chr16:79768570,0.66275,0.19806,0.25315
chr17:82213537,0.51325,0.08941,0.3793
chr6:32974764,0.25872,0.06558,0.14775
chr6:32974717,0.42645,0.12836,0.2825
chr10:74589520,0.5583699999999999,0.17820999999999998,0.135875
chr12:92142046,0.37408,0.07985,0.3803
chr11:47355661,0.71805,0.0838,0.437975
