CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Cortical_neurons,Hepatocytes,Lung_cells,Pancreatic_beta_cells,Pancreatic_acinar_cells,Pancreatic_duct_cells,Vascular_endothelial_cells,Colon_epithelial_cells,Left_atrium,Bladder,Breast,Head_and_neck_larynx,Kidney,Prostate,Thyroid,Upper_GI,Uterus_cervix
chr14:68790171,0.8866,0.2615,0.0149,0.0777,0.0164,0.868,0.9509,0.0336,0.0168,0.034,0.0416,0.038875,0.0209,0.013000000000000001,0.0323,0.0163,0.0386,0.0462,0.0264,0.047,0.0269,0.0353,0.0553,0.0701,0.0344
chr15:90184328,0.8363,0.221,0.2816,0.4705,0.3961,0.8293,0.2385,0.3578,0.3104,0.2389,0.225,0.132,0.2249,0.1996,0.3654,0.2037,0.2446,0.2054,0.1922,0.2045,0.1596,0.1557,0.1848,0.168,0.2026
chr15:90184338,0.7658,0.0222,0.1492,0.4005,0.3474,0.7915,0.1374,0.1965,0.0978,0.0338,0.0768,0.041725,0.0314,0.0139,0.2382,0.0193,0.1134,0.1269,0.1651,0.1523,0.1034,0.0686,0.0943,0.1298,0.1075
chr11:64877015,0.8861,0.5116,0.1021,0.4363,0.0875,0.7042,0.9447,0.0842,0.2832,0.2259,0.0544,0.11175,0.0309,0.0217,0.0972,0.0187,0.0674,0.0769,0.0691,0.0704,0.0604,0.0369,0.0412,0.0924,0.0697
chr14:68790074,0.5212,0.3614,0.0227,0.212,0.0225,0.5368,0.4667,0.0287,0.1368,0.0307,0.1607,0.065975,0.037000000000000005,0.023,0.0798,0.0193,0.0432,0.0459,0.0228,0.0687,0.0234,0.0508,0.0726,0.0759,0.0196
chr10:73773673,0.2013,0.1137,0.0608,0.040999999999999995,0.0668,0.1952,0.1601,0.0364,0.0222,0.1574,0.0122,0.003825,0.0378,0.0347,0.047,0.0193,0.0287,0.0246,0.0081,0.0098,0.0309,0.0055,0.0188,0.009000000000000001,0.0166
chr10:73773642,0.1819,0.1145,0.0688,0.0588,0.066,0.1798,0.1045,0.0309,0.0296,0.0933,0.0209,0.008025,0.0193,0.0205,0.0356,0.0208,0.0293,0.0138,0.0173,0.0107,0.0227,0.0102,0.0164,0.012,0.0155
chr10:73773592,0.3366,0.2776,0.1749,0.1822,0.1789,0.3249,0.33299999999999996,0.1264,0.0724,0.3157,0.1063,0.068675,0.0715,0.0781,0.1434,0.0525,0.1216,0.171,0.1145,0.1199,0.1491,0.10099999999999999,0.1242,0.1072,0.1114
chr10:72275812,0.6594,0.1479,0.0787,0.0516,0.1614,0.644,0.5443,0.1346,0.1132,0.0684,0.0783,0.0617,0.0375,0.0332,0.2194,0.0507,0.2144,0.1091,0.1796,0.1502,0.1404,0.0912,0.1316,0.14800000000000002,0.1237
chr10:73773673,0.2013,0.1137,0.0608,0.040999999999999995,0.0668,0.1952,0.1601,0.0364,0.0222,0.1574,0.0122,0.003825,0.0378,0.0347,0.047,0.0193,0.0287,0.0246,0.0081,0.0098,0.0309,0.0055,0.0188,0.009000000000000001,0.0166
